sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
546,ADA-P3-09-06,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Test,Follow the Player with a Camera — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Implement a smooth camera that follows the player and remains inside map bounds.,The camera centers when possible and clamps cleanly near map edges.
547,ADA-P3-09-07,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Repair,Follow the Player with a Camera — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Reproduce and repair this defect class in the current project: Updating world positions in screen coordinates or exposing camera offsets to domain code.,The camera centers when possible and clamps cleanly near map edges.
548,ADA-P3-09-08,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Refactor,Follow the Player with a Camera — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Refactor the chapter implementation so World-to-screen transforms and clamping is clearer without changing behavior.,The camera centers when possible and clamps cleanly near map edges.
549,ADA-P3-09-09,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Integrate,Follow the Player with a Camera — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Integrate this chapter into the running final product so it works with earlier milestones: Implement a smooth camera that follows the player and remains inside map bounds.,The camera centers when possible and clamps cleanly near map edges.
550,ADA-P3-09-10,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Review,Follow the Player with a Camera — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Perform a senior-style checkpoint review of Follow the Player with a Camera in Rescue Run SDL.,The camera centers when possible and clamps cleanly near map edges.
551,ADA-P3-10-01,Project 3 — Rescue Run SDL,Resolve Tile Collision,Question,Resolve Tile Collision — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,"Answer one focused question before editing code: How should Bounding boxes, swept movement, and axis separation be used to accomplish this milestone: Prevent the player from crossing walls while allowing smooth sliding.","Collision tests cover corners, narrow passages, and high-speed movement."
552,ADA-P3-10-02,Project 3 — Rescue Run SDL,Resolve Tile Collision,Code Reading,Resolve Tile Collision — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,"Read the current implementation around src/collision.ads, src/collision.adb. Trace how data enters, changes, and leaves the code for this milestone: Prevent the player from crossing walls while allowing smooth sliding.","Collision tests cover corners, narrow passages, and high-speed movement."
553,ADA-P3-10-03,Project 3 — Rescue Run SDL,Resolve Tile Collision,Predict,Resolve Tile Collision — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Predict the exact behavior if the implementation encounters this problem: Resolving both axes together and sticking at corners or tunneling at high speed.,"Collision tests cover corners, narrow passages, and high-speed movement."
554,ADA-P3-10-04,Project 3 — Rescue Run SDL,Resolve Tile Collision,Implement,Resolve Tile Collision — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Implement the core milestone in the existing rescue_run_sdl crate: Prevent the player from crossing walls while allowing smooth sliding.,"Collision tests cover corners, narrow passages, and high-speed movement."
555,ADA-P3-10-05,Project 3 — Rescue Run SDL,Resolve Tile Collision,Extend,Resolve Tile Collision — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Extend the completed milestone with this practical variation: Add hazards and one-way or trigger tiles.,"Collision tests cover corners, narrow passages, and high-speed movement."
556,ADA-P3-10-06,Project 3 — Rescue Run SDL,Resolve Tile Collision,Test,Resolve Tile Collision — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Prevent the player from crossing walls while allowing smooth sliding.,"Collision tests cover corners, narrow passages, and high-speed movement."
557,ADA-P3-10-07,Project 3 — Rescue Run SDL,Resolve Tile Collision,Repair,Resolve Tile Collision — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Reproduce and repair this defect class in the current project: Resolving both axes together and sticking at corners or tunneling at high speed.,"Collision tests cover corners, narrow passages, and high-speed movement."
558,ADA-P3-10-08,Project 3 — Rescue Run SDL,Resolve Tile Collision,Refactor,Resolve Tile Collision — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,"Refactor the chapter implementation so Bounding boxes, swept movement, and axis separation is clearer without changing behavior.","Collision tests cover corners, narrow passages, and high-speed movement."
559,ADA-P3-10-09,Project 3 — Rescue Run SDL,Resolve Tile Collision,Integrate,Resolve Tile Collision — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Integrate this chapter into the running final product so it works with earlier milestones: Prevent the player from crossing walls while allowing smooth sliding.,"Collision tests cover corners, narrow passages, and high-speed movement."
560,ADA-P3-10-10,Project 3 — Rescue Run SDL,Resolve Tile Collision,Review,Resolve Tile Collision — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/collision.ads; src/collision.adb,Perform a senior-style checkpoint review of Resolve Tile Collision in Rescue Run SDL.,"Collision tests cover corners, narrow passages, and high-speed movement."
561,ADA-P3-11-01,Project 3 — Rescue Run SDL,Load and Manage Textures,Question,Load and Manage Textures — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,"Answer one focused question before editing code: How should SDL_image, ownership, caching, and failure fallback be used to accomplish this milestone: Load a tileset and sprites through a texture cache with explicit ownership.","Each asset loads once, is reused, and is released at shutdown."
562,ADA-P3-11-02,Project 3 — Rescue Run SDL,Load and Manage Textures,Code Reading,Load and Manage Textures — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,"Read the current implementation around src/assets.ads, src/assets.adb, assets/. Trace how data enters, changes, and leaves the code for this milestone: Load a tileset and sprites through a texture cache with explicit ownership.","Each asset loads once, is reused, and is released at shutdown."
563,ADA-P3-11-03,Project 3 — Rescue Run SDL,Load and Manage Textures,Predict,Load and Manage Textures — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Predict the exact behavior if the implementation encounters this problem: Loading every texture every frame or destroying shared textures too early.,"Each asset loads once, is reused, and is released at shutdown."
564,ADA-P3-11-04,Project 3 — Rescue Run SDL,Load and Manage Textures,Implement,Load and Manage Textures — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Implement the core milestone in the existing rescue_run_sdl crate: Load a tileset and sprites through a texture cache with explicit ownership.,"Each asset loads once, is reused, and is released at shutdown."
565,ADA-P3-11-05,Project 3 — Rescue Run SDL,Load and Manage Textures,Extend,Load and Manage Textures — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Extend the completed milestone with this practical variation: Provide placeholder graphics when an asset is missing.,"Each asset loads once, is reused, and is released at shutdown."
566,ADA-P3-11-06,Project 3 — Rescue Run SDL,Load and Manage Textures,Test,Load and Manage Textures — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Create automated or repeatable tests that prove the milestone and its boundaries: Load a tileset and sprites through a texture cache with explicit ownership.,"Each asset loads once, is reused, and is released at shutdown."
567,ADA-P3-11-07,Project 3 — Rescue Run SDL,Load and Manage Textures,Repair,Load and Manage Textures — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Reproduce and repair this defect class in the current project: Loading every texture every frame or destroying shared textures too early.,"Each asset loads once, is reused, and is released at shutdown."
568,ADA-P3-11-08,Project 3 — Rescue Run SDL,Load and Manage Textures,Refactor,Load and Manage Textures — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,"Refactor the chapter implementation so SDL_image, ownership, caching, and failure fallback is clearer without changing behavior.","Each asset loads once, is reused, and is released at shutdown."
569,ADA-P3-11-09,Project 3 — Rescue Run SDL,Load and Manage Textures,Integrate,Load and Manage Textures — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Integrate this chapter into the running final product so it works with earlier milestones: Load a tileset and sprites through a texture cache with explicit ownership.,"Each asset loads once, is reused, and is released at shutdown."
570,ADA-P3-11-10,Project 3 — Rescue Run SDL,Load and Manage Textures,Review,Load and Manage Textures — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/assets.ads; src/assets.adb; assets/,Perform a senior-style checkpoint review of Load and Manage Textures in Rescue Run SDL.,"Each asset loads once, is reused, and is released at shutdown."
571,ADA-P3-12-01,Project 3 — Rescue Run SDL,Animate the Player,Question,Animate the Player — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/animation.ads; src/animation.adb; src/player_view.adb,"Answer one focused question before editing code: How should Sprite sheets, frame timing, and state machines be used to accomplish this milestone: Select idle, walk, and hurt animations based on player state and direction.",Animations advance by time and transition without flicker.
572,ADA-P3-12-02,Project 3 — Rescue Run SDL,Animate the Player,Code Reading,Animate the Player — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/animation.ads; src/animation.adb; src/player_view.adb,"Read the current implementation around src/animation.ads, src/animation.adb, src/player_view.adb. Trace how data enters, changes, and leaves the code for this milestone: Select idle, walk, and hurt animations based on player state and direction.",Animations advance by time and transition without flicker.
573,ADA-P3-12-03,Project 3 — Rescue Run SDL,Animate the Player,Predict,Animate the Player — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/animation.ads; src/animation.adb; src/player_view.adb,Predict the exact behavior if the implementation encounters this problem: Using render frame count as animation time or restarting clips every update.,Animations advance by time and transition without flicker.
